category,created_at,email_content,email_id,id,insights,items,merchant_name,processed,received_date,savings_suggestions,sender,source,subject,total_amount
Utilities,2025-07-26T23:54:29.240978,"
        Thanks for shopping with Apple Store!
        
        Order Details:
        Date: 2025-05-05T00:00:00
        
        Items Ordered:
        1. Water Bill   $50.0
        2. Electricity Bill   $100.0
        
        Total: $150.0
        ",cf4ba264-98fa-4d14-b132-1c19f0e38e95,cf4ba264-98fa-4d14-b132-1c19f0e38e95,['Spent $150.0 on Utilities items from Apple Store.'],"[{'name': 'Water Bill', 'price': 50.0}, {'name': 'Electricity Bill', 'price': 100.0}]",Apple Store,True,2025-05-05T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Apple Store@receipts.com,email,Order Confirmation,150.0
Food,2025-07-26T23:54:29.241009,"
        Thanks for shopping with Amazon!
        
        Order Details:
        Date: 2025-02-24T00:00:00
        
        Items Ordered:
        1. Almond Milk   $3.99
        2. Organic Apples   $5.99
        
        Total: $9.98
        ",2554f663-ec12-4eca-84e8-92721f8ed014,2554f663-ec12-4eca-84e8-92721f8ed014,['Spent $9.98 on Food items from Amazon.'],"[{'name': 'Almond Milk', 'price': 3.99}, {'name': 'Organic Apples', 'price': 5.99}]",Amazon,True,2025-02-24T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Amazon@receipts.com,email,Order Confirmation,9.98
Shopping,2025-07-26T23:54:29.241039,"
        Thanks for shopping with Costco!
        
        Order Details:
        Date: 2025-02-28T00:00:00
        
        Items Ordered:
        1. Watch   $199.99
        2. Shoes   $89.99
        
        Total: $289.98
        ",372c40bb-2577-448e-9e14-20da7ec84fb1,372c40bb-2577-448e-9e14-20da7ec84fb1,['Spent $289.98 on Shopping items from Costco.'],"[{'name': 'Watch', 'price': 199.99}, {'name': 'Shoes', 'price': 89.99}]",Costco,True,2025-02-28T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Costco@receipts.com,email,Order Confirmation,289.98
Food,2025-07-26T23:54:29.241068,"
        Thanks for shopping with Whole Foods!
        
        Order Details:
        Date: 2025-01-10T00:00:00
        
        Items Ordered:
        1. Almond Milk   $3.99
        2. Organic Apples   $5.99
        
        Total: $9.98
        ",9f6f5ed0-c08b-46b1-8b23-d0bd95a55310,9f6f5ed0-c08b-46b1-8b23-d0bd95a55310,['Spent $9.98 on Food items from Whole Foods.'],"[{'name': 'Almond Milk', 'price': 3.99}, {'name': 'Organic Apples', 'price': 5.99}]",Whole Foods,True,2025-01-10T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Whole Foods@receipts.com,email,Order Confirmation,9.98
Shopping,2025-07-26T23:54:29.241100,"
        Thanks for shopping with Amazon!
        
        Order Details:
        Date: 2025-05-13T00:00:00
        
        Items Ordered:
        1. Shoes   $89.99
        2. Watch   $199.99
        
        Total: $289.98
        ",53c19a54-3382-4549-9122-791747a17b1b,53c19a54-3382-4549-9122-791747a17b1b,['Spent $289.98 on Shopping items from Amazon.'],"[{'name': 'Shoes', 'price': 89.99}, {'name': 'Watch', 'price': 199.99}]",Amazon,True,2025-05-13T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Amazon@receipts.com,email,Order Confirmation,289.98
Shopping,2025-07-26T23:54:29.241185,"
        Thanks for shopping with Best Buy!
        
        Order Details:
        Date: 2025-04-01T00:00:00
        
        Items Ordered:
        1. Watch   $199.99
        2. Shoes   $89.99
        
        Total: $289.98
        ",5333b837-709c-4963-99d6-f720d72312b8,5333b837-709c-4963-99d6-f720d72312b8,['Spent $289.98 on Shopping items from Best Buy.'],"[{'name': 'Watch', 'price': 199.99}, {'name': 'Shoes', 'price': 89.99}]",Best Buy,True,2025-04-01T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Best Buy@receipts.com,email,Order Confirmation,289.98
Health,2025-07-26T23:54:29.241244,"
        Thanks for shopping with Whole Foods!
        
        Order Details:
        Date: 2025-01-25T00:00:00
        
        Items Ordered:
        1. Vitamins   $15.99
        2. Protein Powder   $29.99
        
        Total: $45.98
        ",3300ee25-0440-4ea6-a3bb-c798287af9ae,3300ee25-0440-4ea6-a3bb-c798287af9ae,['Spent $45.98 on Health items from Whole Foods.'],"[{'name': 'Vitamins', 'price': 15.99}, {'name': 'Protein Powder', 'price': 29.99}]",Whole Foods,True,2025-01-25T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Whole Foods@receipts.com,email,Order Confirmation,45.98
Dining,2025-07-26T23:54:29.241300,"
        Thanks for shopping with Target!
        
        Order Details:
        Date: 2025-06-06T00:00:00
        
        Items Ordered:
        1. Lunch   $30.0
        2. Dinner   $50.0
        
        Total: $80.0
        ",23b65748-dbed-4772-8c8a-36957c0255ba,23b65748-dbed-4772-8c8a-36957c0255ba,['Spent $80.0 on Dining items from Target.'],"[{'name': 'Lunch', 'price': 30.0}, {'name': 'Dinner', 'price': 50.0}]",Target,True,2025-06-06T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Target@receipts.com,email,Order Confirmation,80.0
Shopping,2025-07-26T23:54:29.241354,"
        Thanks for shopping with Apple Store!
        
        Order Details:
        Date: 2025-02-18T00:00:00
        
        Items Ordered:
        1. Shoes   $89.99
        2. Watch   $199.99
        
        Total: $289.98
        ",200bf6db-da79-441d-abf2-01bc7c9149e7,200bf6db-da79-441d-abf2-01bc7c9149e7,['Spent $289.98 on Shopping items from Apple Store.'],"[{'name': 'Shoes', 'price': 89.99}, {'name': 'Watch', 'price': 199.99}]",Apple Store,True,2025-02-18T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Apple Store@receipts.com,email,Order Confirmation,289.98
Dining,2025-07-26T23:54:29.241415,"
        Thanks for shopping with Whole Foods!
        
        Order Details:
        Date: 2025-04-03T00:00:00
        
        Items Ordered:
        1. Dinner   $50.0
        2. Lunch   $30.0
        
        Total: $80.0
        ",869bc57c-f383-486b-948c-0738034de3bb,869bc57c-f383-486b-948c-0738034de3bb,['Spent $80.0 on Dining items from Whole Foods.'],"[{'name': 'Dinner', 'price': 50.0}, {'name': 'Lunch', 'price': 30.0}]",Whole Foods,True,2025-04-03T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Whole Foods@receipts.com,email,Order Confirmation,80.0
Food,2025-07-26T23:54:29.241470,"
        Thanks for shopping with Whole Foods!
        
        Order Details:
        Date: 2025-05-08T00:00:00
        
        Items Ordered:
        1. Organic Apples   $5.99
        2. Almond Milk   $3.99
        
        Total: $9.98
        ",f0c87615-605b-4305-8d76-002f38bb37e4,f0c87615-605b-4305-8d76-002f38bb37e4,['Spent $9.98 on Food items from Whole Foods.'],"[{'name': 'Organic Apples', 'price': 5.99}, {'name': 'Almond Milk', 'price': 3.99}]",Whole Foods,True,2025-05-08T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Whole Foods@receipts.com,email,Order Confirmation,9.98
Transport,2025-07-26T23:54:29.241526,"
        Thanks for shopping with Walmart!
        
        Order Details:
        Date: 2025-07-04T00:00:00
        
        Items Ordered:
        1. Bus Pass   $30.0
        2. Taxi Ride   $20.0
        
        Total: $50.0
        ",6aff041e-f2a2-4ec4-bb7e-d57e633d57be,6aff041e-f2a2-4ec4-bb7e-d57e633d57be,['Spent $50.0 on Transport items from Walmart.'],"[{'name': 'Bus Pass', 'price': 30.0}, {'name': 'Taxi Ride', 'price': 20.0}]",Walmart,True,2025-07-04T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Walmart@receipts.com,email,Order Confirmation,50.0
Food,2025-07-26T23:54:29.241580,"
        Thanks for shopping with Target!
        
        Order Details:
        Date: 2025-04-12T00:00:00
        
        Items Ordered:
        1. Organic Apples   $5.99
        2. Almond Milk   $3.99
        
        Total: $9.98
        ",e3608bcb-8a35-4426-b015-74cbff8e9326,e3608bcb-8a35-4426-b015-74cbff8e9326,['Spent $9.98 on Food items from Target.'],"[{'name': 'Organic Apples', 'price': 5.99}, {'name': 'Almond Milk', 'price': 3.99}]",Target,True,2025-04-12T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Target@receipts.com,email,Order Confirmation,9.98
Electronics,2025-07-26T23:54:29.241635,"
        Thanks for shopping with Best Buy!
        
        Order Details:
        Date: 2025-01-22T00:00:00
        
        Items Ordered:
        1. Bluetooth Headphones   $79.99
        2. Smartphone   $699.99
        
        Total: $779.98
        ",a7927ddf-5dbb-4530-ac14-2e8d2bb3fcc3,a7927ddf-5dbb-4530-ac14-2e8d2bb3fcc3,['Spent $779.98 on Electronics items from Best Buy.'],"[{'name': 'Bluetooth Headphones', 'price': 79.99}, {'name': 'Smartphone', 'price': 699.99}]",Best Buy,True,2025-01-22T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Best Buy@receipts.com,email,Order Confirmation,779.98
Food,2025-07-26T23:54:29.241693,"
        Thanks for shopping with Lyft!
        
        Order Details:
        Date: 2025-06-05T00:00:00
        
        Items Ordered:
        1. Almond Milk   $3.99
        2. Organic Apples   $5.99
        
        Total: $9.98
        ",f4c44cdd-dc28-40eb-9326-458bacc0b312,f4c44cdd-dc28-40eb-9326-458bacc0b312,['Spent $9.98 on Food items from Lyft.'],"[{'name': 'Almond Milk', 'price': 3.99}, {'name': 'Organic Apples', 'price': 5.99}]",Lyft,True,2025-06-05T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Lyft@receipts.com,email,Order Confirmation,9.98
Dining,2025-07-26T23:54:29.241765,"
        Thanks for shopping with Target!
        
        Order Details:
        Date: 2025-04-05T00:00:00
        
        Items Ordered:
        1. Lunch   $30.0
        2. Dinner   $50.0
        
        Total: $80.0
        ",4195ee48-f7a3-476c-b996-cba5ad0ec828,4195ee48-f7a3-476c-b996-cba5ad0ec828,['Spent $80.0 on Dining items from Target.'],"[{'name': 'Lunch', 'price': 30.0}, {'name': 'Dinner', 'price': 50.0}]",Target,True,2025-04-05T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Target@receipts.com,email,Order Confirmation,80.0
Health,2025-07-26T23:54:29.241822,"
        Thanks for shopping with Amazon!
        
        Order Details:
        Date: 2025-02-03T00:00:00
        
        Items Ordered:
        1. Vitamins   $15.99
        2. Protein Powder   $29.99
        
        Total: $45.98
        ",a62e1b4a-ca28-4024-9a00-90d56d99e4ae,a62e1b4a-ca28-4024-9a00-90d56d99e4ae,['Spent $45.98 on Health items from Amazon.'],"[{'name': 'Vitamins', 'price': 15.99}, {'name': 'Protein Powder', 'price': 29.99}]",Amazon,True,2025-02-03T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Amazon@receipts.com,email,Order Confirmation,45.98
Dining,2025-07-26T23:54:29.241879,"
        Thanks for shopping with Uber!
        
        Order Details:
        Date: 2025-07-02T00:00:00
        
        Items Ordered:
        1. Lunch   $30.0
        2. Dinner   $50.0
        
        Total: $80.0
        ",e886f8f6-057b-4ffb-bad5-dedae854bb69,e886f8f6-057b-4ffb-bad5-dedae854bb69,['Spent $80.0 on Dining items from Uber.'],"[{'name': 'Lunch', 'price': 30.0}, {'name': 'Dinner', 'price': 50.0}]",Uber,True,2025-07-02T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Uber@receipts.com,email,Order Confirmation,80.0
Electronics,2025-07-26T23:54:29.241933,"
        Thanks for shopping with Whole Foods!
        
        Order Details:
        Date: 2025-01-21T00:00:00
        
        Items Ordered:
        1. Smartphone   $699.99
        2. Bluetooth Headphones   $79.99
        
        Total: $779.98
        ",5a339c30-895e-45bf-9a07-4cdedb16e2fc,5a339c30-895e-45bf-9a07-4cdedb16e2fc,['Spent $779.98 on Electronics items from Whole Foods.'],"[{'name': 'Smartphone', 'price': 699.99}, {'name': 'Bluetooth Headphones', 'price': 79.99}]",Whole Foods,True,2025-01-21T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Whole Foods@receipts.com,email,Order Confirmation,779.98
Health,2025-07-26T23:54:29.241990,"
        Thanks for shopping with Lyft!
        
        Order Details:
        Date: 2025-05-01T00:00:00
        
        Items Ordered:
        1. Vitamins   $15.99
        2. Protein Powder   $29.99
        
        Total: $45.98
        ",8362c5c7-36c9-43b3-a6a3-1c6b976aeb52,8362c5c7-36c9-43b3-a6a3-1c6b976aeb52,['Spent $45.98 on Health items from Lyft.'],"[{'name': 'Vitamins', 'price': 15.99}, {'name': 'Protein Powder', 'price': 29.99}]",Lyft,True,2025-05-01T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Lyft@receipts.com,email,Order Confirmation,45.98
Shopping,2025-07-26T23:54:29.242047,"
        Thanks for shopping with Costco!
        
        Order Details:
        Date: 2025-01-05T00:00:00
        
        Items Ordered:
        1. Shoes   $89.99
        2. Watch   $199.99
        
        Total: $289.98
        ",185cc336-175f-4bc6-bd41-0230871dd354,185cc336-175f-4bc6-bd41-0230871dd354,['Spent $289.98 on Shopping items from Costco.'],"[{'name': 'Shoes', 'price': 89.99}, {'name': 'Watch', 'price': 199.99}]",Costco,True,2025-01-05T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Costco@receipts.com,email,Order Confirmation,289.98
Health,2025-07-26T23:54:29.242102,"
        Thanks for shopping with Target!
        
        Order Details:
        Date: 2025-04-07T00:00:00
        
        Items Ordered:
        1. Protein Powder   $29.99
        2. Vitamins   $15.99
        
        Total: $45.98
        ",e8a720e7-f6f5-49af-9f84-8f053ec99932,e8a720e7-f6f5-49af-9f84-8f053ec99932,['Spent $45.98 on Health items from Target.'],"[{'name': 'Protein Powder', 'price': 29.99}, {'name': 'Vitamins', 'price': 15.99}]",Target,True,2025-04-07T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Target@receipts.com,email,Order Confirmation,45.98
Transport,2025-07-26T23:54:29.242157,"
        Thanks for shopping with Target!
        
        Order Details:
        Date: 2025-06-06T00:00:00
        
        Items Ordered:
        1. Taxi Ride   $20.0
        2. Bus Pass   $30.0
        
        Total: $50.0
        ",965076cd-371c-4538-994a-3b37992ee781,965076cd-371c-4538-994a-3b37992ee781,['Spent $50.0 on Transport items from Target.'],"[{'name': 'Taxi Ride', 'price': 20.0}, {'name': 'Bus Pass', 'price': 30.0}]",Target,True,2025-06-06T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Target@receipts.com,email,Order Confirmation,50.0
Health,2025-07-26T23:54:29.242209,"
        Thanks for shopping with Walmart!
        
        Order Details:
        Date: 2025-02-26T00:00:00
        
        Items Ordered:
        1. Protein Powder   $29.99
        2. Vitamins   $15.99
        
        Total: $45.98
        ",265e3118-7892-401b-865a-88c669e28a24,265e3118-7892-401b-865a-88c669e28a24,['Spent $45.98 on Health items from Walmart.'],"[{'name': 'Protein Powder', 'price': 29.99}, {'name': 'Vitamins', 'price': 15.99}]",Walmart,True,2025-02-26T00:00:00,"['Look for discounts.', 'Consider loyalty programs for savings.']",Walmart@receipts.com,email,Order Confirmation,45.98
